,Intensity W21.1,,C:\Users\Brend\Desktop\LED Spectras v2\Spectrometer Data (White 1-34.2).sp,,,W21.1
,90.837,,,,,
,91.15,,,,,
,91.381,,,,,
,91.538,,,,,
,91.634,,,,,
,91.676,,,,,
,91.679,,,,,
,91.627,,,,,
,91.539,,,,,
,91.408,,,,,
,91.237,,,,,
,91.014,,,,,
,90.742,,,,,
,90.397,,,,,
,89.985,,,,,
,89.508,,,,,
,88.974,,,,,
,88.386,,,,,
,87.734,,,,,
,87.024,,,,,
,86.237,,,,,
,85.336,,,,,
,84.307,,,,,
,83.125,,,,,
,81.81,,,,,
,80.388,,,,,
,78.91,,,,,
,77.391,,,,,
,75.856,,,,,
,74.377,,,,,
,72.987,,,,,
,71.687,,,,,
,70.416,,,,,
,69.193,,,,,
,68.04,,,,,
,66.963,,,,,
,65.946,,,,,
,64.979,,,,,
,64.049,,,,,
,63.138,,,,,
,62.241,,,,,
,61.385,,,,,
,60.589,,,,,
,59.864,,,,,
,59.177,,,,,
,58.526,,,,,
,57.869,,,,,
,57.221,,,,,
,56.558,,,,,
,55.899,,,,,
,55.269,,,,,
,54.67,,,,,
,54.116,,,,,
,53.567,,,,,
,53.022,,,,,
,52.482,,,,,
,51.949,,,,,
,51.418,,,,,
,50.877,,,,,
,50.321,,,,,
,49.74,,,,,
,49.164,,,,,
,48.59,,,,,
,48.029,,,,,
,47.453,,,,,
,46.849,,,,,
,46.224,,,,,
,45.575,,,,,
,44.921,,,,,
,44.272,,,,,
,43.59,,,,,
,42.921,,,,,
,42.236,,,,,
,41.578,,,,,
,40.881,,,,,
,40.183,,,,,
,39.485,,,,,
,38.8,,,,,
,38.107,,,,,
,37.395,,,,,
,36.701,,,,,
,36.035,,,,,
,35.416,,,,,
,34.82,,,,,
,34.231,,,,,
,33.655,,,,,
,33.085,,,,,
,32.555,,,,,
,32.032,,,,,
,31.534,,,,,
,31.031,,,,,
,30.552,,,,,
,30.081,,,,,
,29.621,,,,,
,29.175,,,,,
,28.765,,,,,
,28.397,,,,,
,28.065,,,,,
,27.735,,,,,
,27.408,,,,,
,27.076,,,,,
,26.758,,,,,
,26.445,,,,,
,26.148,,,,,
,25.878,,,,,
,25.668,,,,,
,25.49,,,,,
,25.327,,,,,
,25.143,,,,,
,24.939,,,,,
,24.723,,,,,
,24.512,,,,,
,24.297,,,,,
,24.098,,,,,
,23.921,,,,,
,23.792,,,,,
,23.673,,,,,
,23.565,,,,,
,23.451,,,,,
,23.329,,,,,
,23.177,,,,,
,23.024,,,,,
,22.881,,,,,
,22.765,,,,,
,22.641,,,,,
,22.536,,,,,
,22.418,,,,,
,22.305,,,,,
,22.183,,,,,
,22.071,,,,,
,21.951,,,,,
,21.843,,,,,
,21.76,,,,,
,21.71,,,,,
,21.652,,,,,
,21.588,,,,,
,21.514,,,,,
,21.459,,,,,
,21.396,,,,,
,21.337,,,,,
,21.275,,,,,
,21.233,,,,,
,21.195,,,,,
,21.151,,,,,
,21.121,,,,,
,21.117,,,,,
,21.129,,,,,
,21.144,,,,,
,21.155,,,,,
,21.186,,,,,
,21.204,,,,,
,21.24,,,,,
,21.258,,,,,
,21.279,,,,,
,21.298,,,,,
,21.355,,,,,
,21.445,,,,,
,21.577,,,,,
,21.693,,,,,
,21.805,,,,,
,21.883,,,,,
,21.983,,,,,
,22.075,,,,,
,22.151,,,,,
,22.196,,,,,
,22.268,,,,,
,22.372,,,,,
,22.501,,,,,
,22.637,,,,,
,22.795,,,,,
,22.943,,,,,
,23.074,,,,,
,23.182,,,,,
,23.305,,,,,
,23.433,,,,,
,23.576,,,,,
,23.706,,,,,
,23.834,,,,,
,23.961,,,,,
,24.09,,,,,
,24.219,,,,,
,24.35,,,,,
,24.475,,,,,
,24.616,,,,,
,24.743,,,,,
,24.893,,,,,
,25.03,,,,,
,25.167,,,,,
,25.299,,,,,
,25.445,,,,,
,25.608,,,,,
,25.776,,,,,
,25.933,,,,,
,26.089,,,,,
,26.225,,,,,
,26.371,,,,,
,26.509,,,,,
,26.674,,,,,
,26.826,,,,,
,26.978,,,,,
,27.12,,,,,
,27.264,,,,,
,27.389,,,,,
,27.519,,,,,
,27.661,,,,,
,27.846,,,,,
,28.033,,,,,
,28.213,,,,,
,28.348,,,,,
,28.471,,,,,
,28.577,,,,,
,28.705,,,,,
,28.821,,,,,
,28.952,,,,,
,29.069,,,,,
,29.185,,,,,
,29.294,,,,,
,29.42,,,,,
,29.547,,,,,
,29.677,,,,,
,29.803,,,,,
,29.934,,,,,
,30.059,,,,,
,30.179,,,,,
,30.301,,,,,
,30.423,,,,,
,30.521,,,,,
,30.611,,,,,
,30.672,,,,,
,30.759,,,,,
,30.846,,,,,
,30.973,,,,,
,31.091,,,,,
,31.216,,,,,
,31.326,,,,,
,31.432,,,,,
,31.516,,,,,
,31.62,,,,,
,31.713,,,,,
,31.807,,,,,
,31.877,,,,,
,31.962,,,,,
,32.066,,,,,
,32.182,,,,,
,32.294,,,,,
,32.4,,,,,
,32.492,,,,,
,32.585,,,,,
,32.661,,,,,
,32.736,,,,,
,32.796,,,,,
,32.864,,,,,
,32.928,,,,,
,32.995,,,,,
,33.065,,,,,
,33.152,,,,,
,33.251,,,,,
,33.367,,,,,
,33.472,,,,,
,33.548,,,,,
,33.602,,,,,
,33.666,,,,,
,33.739,,,,,
,33.807,,,,,
,33.852,,,,,
,33.911,,,,,
,33.979,,,,,
,34.071,,,,,
,34.154,,,,,
,34.23,,,,,
,34.277,,,,,
,34.329,,,,,
,34.376,,,,,
,34.433,,,,,
,34.483,,,,,
,34.529,,,,,
,34.556,,,,,
,34.57,,,,,
,34.599,,,,,
,34.637,,,,,
,34.678,,,,,
,34.697,,,,,
,34.725,,,,,
,34.761,,,,,
,34.809,,,,,
,34.842,,,,,
,34.867,,,,,
,34.88,,,,,
,34.904,,,,,
,34.941,,,,,
,34.984,,,,,
,35.021,,,,,
,35.025,,,,,
,35.024,,,,,
,35.018,,,,,
,35.048,,,,,
,35.093,,,,,
,35.151,,,,,
,35.196,,,,,
,35.226,,,,,
,35.234,,,,,
,35.235,,,,,
,35.233,,,,,
,35.249,,,,,
