,Intensity B37.1,,C:\Users\Brend\Desktop\LED Spectras v2\Spectrometer Data (Blue [25.3-37]).sp,,,B37.1
,91.476,,,,,
,91.773,,,,,
,91.991,,,,,
,92.14,,,,,
,92.232,,,,,
,92.266,,,,,
,92.236,,,,,
,92.149,,,,,
,92.014,,,,,
,91.83,,,,,
,91.596,,,,,
,91.296,,,,,
,90.917,,,,,
,90.443,,,,,
,89.875,,,,,
,89.209,,,,,
,88.449,,,,,
,87.589,,,,,
,86.6,,,,,
,85.421,,,,,
,84.005,,,,,
,82.358,,,,,
,80.536,,,,,
,78.624,,,,,
,76.67,,,,,
,74.705,,,,,
,72.731,,,,,
,70.777,,,,,
,68.854,,,,,
,67.005,,,,,
,65.224,,,,,
,63.517,,,,,
,61.861,,,,,
,60.274,,,,,
,58.785,,,,,
,57.373,,,,,
,56.035,,,,,
,54.756,,,,,
,53.553,,,,,
,52.406,,,,,
,51.309,,,,,
,50.265,,,,,
,49.286,,,,,
,48.375,,,,,
,47.518,,,,,
,46.708,,,,,
,45.917,,,,,
,45.17,,,,,
,44.43,,,,,
,43.698,,,,,
,42.965,,,,,
,42.243,,,,,
,41.554,,,,,
,40.882,,,,,
,40.243,,,,,
,39.616,,,,,
,39.002,,,,,
,38.386,,,,,
,37.747,,,,,
,37.088,,,,,
,36.4,,,,,
,35.727,,,,,
,35.051,,,,,
,34.379,,,,,
,33.686,,,,,
,32.973,,,,,
,32.25,,,,,
,31.511,,,,,
,30.776,,,,,
,30.025,,,,,
,29.275,,,,,
,28.535,,,,,
,27.827,,,,,
,27.127,,,,,
,26.42,,,,,
,25.691,,,,,
,24.966,,,,,
,24.257,,,,,
,23.559,,,,,
,22.873,,,,,
,22.188,,,,,
,21.54,,,,,
,20.914,,,,,
,20.31,,,,,
,19.706,,,,,
,19.122,,,,,
,18.563,,,,,
,18.037,,,,,
,17.514,,,,,
,17.011,,,,,
,16.519,,,,,
,16.052,,,,,
,15.592,,,,,
,15.151,,,,,
,14.73,,,,,
,14.329,,,,,
,13.943,,,,,
,13.595,,,,,
,13.258,,,,,
,12.929,,,,,
,12.58,,,,,
,12.252,,,,,
,11.937,,,,,
,11.649,,,,,
,11.375,,,,,
,11.126,,,,,
,10.889,,,,,
,10.668,,,,,
,10.456,,,,,
,10.241,,,,,
,10.012,,,,,
,9.782,,,,,
,9.538,,,,,
,9.302,,,,,
,9.066,,,,,
,8.862,,,,,
,8.666,,,,,
,8.489,,,,,
,8.313,,,,,
,8.139,,,,,
,7.948,,,,,
,7.759,,,,,
,7.56,,,,,
,7.375,,,,,
,7.184,,,,,
,7.014,,,,,
,6.842,,,,,
,6.676,,,,,
,6.503,,,,,
,6.329,,,,,
,6.153,,,,,
,5.989,,,,,
,5.836,,,,,
,5.695,,,,,
,5.548,,,,,
,5.406,,,,,
,5.263,,,,,
,5.133,,,,,
,4.989,,,,,
,4.849,,,,,
,4.705,,,,,
,4.581,,,,,
,4.451,,,,,
,4.314,,,,,
,4.179,,,,,
,4.069,,,,,
,3.976,,,,,
,3.895,,,,,
,3.811,,,,,
,3.735,,,,,
,3.644,,,,,
,3.561,,,,,
,3.472,,,,,
,3.386,,,,,
,3.294,,,,,
,3.213,,,,,
,3.145,,,,,
,3.097,,,,,
,3.042,,,,,
,2.983,,,,,
,2.913,,,,,
,2.864,,,,,
,2.823,,,,,
,2.781,,,,,
,2.727,,,,,
,2.681,,,,,
,2.64,,,,,
,2.598,,,,,
,2.556,,,,,
,2.53,,,,,
,2.507,,,,,
,2.479,,,,,
,2.436,,,,,
,2.401,,,,,
,2.367,,,,,
,2.343,,,,,
,2.315,,,,,
,2.285,,,,,
,2.258,,,,,
,2.237,,,,,
,2.223,,,,,
,2.206,,,,,
,2.188,,,,,
,2.172,,,,,
,2.152,,,,,
,2.138,,,,,
,2.112,,,,,
,2.086,,,,,
,2.059,,,,,
,2.048,,,,,
,2.05,,,,,
,2.055,,,,,
,2.049,,,,,
,2.038,,,,,
,2.019,,,,,
,2.006,,,,,
,1.994,,,,,
,1.994,,,,,
,1.986,,,,,
,1.969,,,,,
,1.947,,,,,
,1.931,,,,,
,1.916,,,,,
,1.9,,,,,
,1.884,,,,,
,1.884,,,,,
,1.889,,,,,
,1.896,,,,,
,1.883,,,,,
,1.868,,,,,
,1.852,,,,,
,1.852,,,,,
,1.845,,,,,
,1.839,,,,,
,1.828,,,,,
,1.817,,,,,
,1.805,,,,,
,1.795,,,,,
,1.79,,,,,
,1.789,,,,,
,1.789,,,,,
,1.787,,,,,
,1.777,,,,,
,1.764,,,,,
,1.763,,,,,
,1.765,,,,,
,1.766,,,,,
,1.761,,,,,
,1.753,,,,,
,1.751,,,,,
,1.742,,,,,
,1.735,,,,,
,1.723,,,,,
,1.718,,,,,
,1.718,,,,,
,1.715,,,,,
,1.704,,,,,
,1.7,,,,,
,1.7,,,,,
,1.699,,,,,
,1.685,,,,,
,1.677,,,,,
,1.675,,,,,
,1.678,,,,,
,1.675,,,,,
,1.676,,,,,
,1.676,,,,,
,1.683,,,,,
,1.686,,,,,
,1.685,,,,,
,1.68,,,,,
,1.679,,,,,
,1.677,,,,,
,1.665,,,,,
,1.651,,,,,
,1.643,,,,,
,1.644,,,,,
,1.649,,,,,
,1.657,,,,,
,1.66,,,,,
,1.659,,,,,
,1.659,,,,,
,1.66,,,,,
,1.656,,,,,
,1.643,,,,,
,1.633,,,,,
,1.627,,,,,
,1.631,,,,,
,1.636,,,,,
,1.637,,,,,
,1.632,,,,,
,1.624,,,,,
,1.622,,,,,
,1.624,,,,,
,1.632,,,,,
,1.641,,,,,
,1.645,,,,,
,1.642,,,,,
,1.642,,,,,
,1.639,,,,,
,1.634,,,,,
,1.622,,,,,
,1.617,,,,,
,1.619,,,,,
,1.628,,,,,
,1.628,,,,,
,1.622,,,,,
,1.606,,,,,
,1.594,,,,,
,1.588,,,,,
,1.593,,,,,
,1.602,,,,,
,1.601,,,,,
,1.599,,,,,
,1.593,,,,,
,1.593,,,,,
,1.593,,,,,
,1.598,,,,,
,1.608,,,,,
,1.619,,,,,
,1.625,,,,,
,1.624,,,,,
,1.616,,,,,
,1.606,,,,,
,1.597,,,,,
,1.6,,,,,
,1.61,,,,,
,1.619,,,,,
,1.62,,,,,
,1.616,,,,,
,1.611,,,,,
,1.611,,,,,
,1.618,,,,,
,1.619,,,,,
,1.606,,,,,
,1.592,,,,,
,1.595,,,,,
,1.616,,,,,
,1.633,,,,,
,1.64,,,,,
,1.638,,,,,
,1.633,,,,,
,1.624,,,,,
,1.619,,,,,
,1.615,,,,,
,1.616,,,,,
,1.62,,,,,
,1.629,,,,,
,1.638,,,,,
,1.645,,,,,
,1.65,,,,,
,1.654,,,,,
,1.652,,,,,
,1.645,,,,,
,1.62,,,,,
,1.604,,,,,
,1.596,,,,,
,1.606,,,,,
,1.605,,,,,
,1.597,,,,,
,1.586,,,,,
,1.581,,,,,
,1.579,,,,,
,1.573,,,,,
,1.57,,,,,
,1.574,,,,,
,1.587,,,,,
,1.6,,,,,
,1.599,,,,,
,1.588,,,,,
,1.57,,,,,
,1.555,,,,,
,1.547,,,,,
,1.55,,,,,
,1.561,,,,,
,1.573,,,,,
,1.586,,,,,
,1.605,,,,,
,1.619,,,,,
,1.62,,,,,
,1.604,,,,,
,1.589,,,,,
,1.577,,,,,
,1.581,,,,,
,1.589,,,,,
,1.598,,,,,
,1.598,,,,,
,1.599,,,,,
,1.603,,,,,
,1.606,,,,,
,1.605,,,,,
,1.599,,,,,
,1.588,,,,,
,1.575,,,,,
,1.563,,,,,
,1.558,,,,,
,1.56,,,,,
,1.562,,,,,
,1.563,,,,,
,1.558,,,,,
,1.553,,,,,
,1.552,,,,,
,1.549,,,,,
,1.555,,,,,
,1.56,,,,,
,1.568,,,,,
,1.567,,,,,
,1.563,,,,,
,1.564,,,,,
,1.566,,,,,
,1.564,,,,,
,1.554,,,,,
,1.546,,,,,
,1.548,,,,,
,1.561,,,,,
,1.576,,,,,
,1.59,,,,,
,1.598,,,,,
,1.603,,,,,
,1.598,,,,,
,1.59,,,,,
,1.585,,,,,
,1.582,,,,,
,1.568,,,,,
,1.555,,,,,
,1.559,,,,,
,1.582,,,,,
,1.594,,,,,
,1.586,,,,,
,1.579,,,,,
,1.582,,,,,
,1.582,,,,,
,1.564,,,,,
,1.544,,,,,
,1.536,,,,,
,1.543,,,,,
,1.555,,,,,
,1.572,,,,,
,1.588,,,,,
,1.591,,,,,
,1.587,,,,,
,1.579,,,,,
,1.574,,,,,
,1.567,,,,,
,1.55,,,,,
,1.542,,,,,
,1.537,,,,,
,1.545,,,,,
,1.552,,,,,
,1.555,,,,,
,1.559,,,,,
,1.56,,,,,
,1.551,,,,,
,1.537,,,,,
,1.529,,,,,
,1.541,,,,,
,1.555,,,,,
,1.554,,,,,
,1.541,,,,,
,1.523,,,,,
