,PC-1,PC-2,PC-3,PC-4,PC-5,PC-6,PC-7
Blue 23-2,-58.46549,-310.3248,63.70544,13.04189,9.910144,7.555831,-0.5748752
Blue 23-3,-100.0084,-283.8912,69.02464,-14.09495,-19.23303,-6.758525,-0.02792029
Blue 24-1,-57.5844,-306.4352,-73.55505,-7.665404,-5.950558,1.419851,-0.4189875
Blue 24-2,-61.90397,-303.2255,-70.2627,-10.17693,-8.719372,-0.0267444,0.2510253
Blue 24-3,-59.43682,-304.5577,-70.41233,-8.529992,-6.950658,0.2951139,0.2886678
Blue 25-1,-33.70871,-319.6602,-99.2373,3.99299,7.963223,21.33998,-5.204648
Blue 25-2,-58.94733,-305.0717,-92.83348,-11.49806,-9.034323,8.327882,-3.806749
Blue 25-3,-55.73089,-305.9662,-91.87663,-9.40161,-6.685672,9.113041,-3.418021
Blue 26-1,-68.18832,-302.7657,-18.38969,-5.573904,-6.697256,-15.33439,3.298066
Blue 26-2,-64.95615,-304.3317,-19.61669,-3.673854,-4.533163,-13.51167,3.304641
Blue 26-3,-64.46067,-304.7655,-20.63194,-3.53583,-4.328057,-12.84106,3.241605
Blue 27-1,-53.58096,-310.552,46.40042,13.48299,11.33693,5.02845,0.8812649
Blue 27-2,-54.7551,-308.6575,44.61688,12.02043,9.953278,6.820468,0.9527341
Blue 27-3,-53.83061,-309.5303,45.97013,12.9928,10.97397,7.115616,1.157464
Blue 28-1,-59.07131,-305.5082,-23.78633,-0.9779948,-1.043539,-6.552789,3.649316
Blue 28-2,-62.16001,-303.0281,-23.3832,-3.100188,-3.293062,-6.65435,3.867574
Blue 28-3,-62.86761,-303.3037,-23.28977,-3.382994,-3.730117,-8.066225,3.613516
Blue 29-1,-53.93768,-303.5771,-125.1354,-13.89222,-9.499596,19.59176,-6.570002
Blue 29-2,-53.12555,-303.7711,-125.9281,-13.53184,-9.084645,20.14819,-6.707552
Blue 29-3,-57.45906,-301.1433,-124.9791,-16.26197,-12.01689,18.71759,-6.54989
Blue 30-1,-46.80445,-311.7799,-46.26517,3.343311,4.834588,7.262996,0.2903373
Blue 30-2,-48.11902,-310.4401,-46.28303,2.352626,3.819765,7.227785,0.4744279
Blue 30-3,-47.991,-310.505,-46.52974,2.444778,3.890112,7.094411,0.4572071
Blue 31-1,-59.10042,-304.8585,-53.92282,-5.397566,-4.471543,-6.415985,1.700979
Blue 31-2,-59.56626,-304.536,-54.06171,-5.767371,-4.814115,-6.289635,1.673507
Blue 31-3,-59.25455,-304.1116,-54.34874,-5.663451,-4.670228,-5.272338,1.894982
Blue 32-1,-50.61901,-304.9582,-80.96964,-5.042274,-2.042381,10.60081,-0.002293077
Blue 32-2,-47.76167,-306.4027,-82.48636,-3.401998,-0.218935,12.29754,-0.02016942
Blue 32-3,-50.58261,-305.7788,-81.55898,-4.8957,-2.027086,9.150132,-0.3192314
Blue 33-1,-56.2466,-310.0511,22.95572,8.619377,6.885361,-3.241314,1.375552
Blue 33-2,-56.12042,-308.6875,21.51981,8.155186,6.645542,-0.5715613,1.64691
Blue 33-3,-54.62947,-310.0653,20.24173,8.931925,7.485835,-0.3843203,1.310297
Blue 34-1,-55.64845,-306.3222,84.62024,17.04573,14.14145,20.81174,-0.2689279
Blue 34-2,-54.31435,-307.067,83.42632,17.70944,14.92998,21.84826,-0.3995501
Blue 34-3,-52.21928,-308.1696,82.69675,19.01732,16.38866,22.89962,-0.3293219
Blue 35-1,-60.0257,-305.9093,-2.525739,1.884432,0.8521575,-8.686385,3.953483
Blue 35-2,-63.15268,-304.0482,-1.616746,-0.05557886,-1.23332,-9.976314,4.096721
Blue 35-3,-64.5732,-303.4073,-0.3794048,-0.7197649,-2.04231,-11.60808,4.150582
Blue 36-1,-51.78271,-311.4481,-2.576296,7.43567,6.851916,-1.272871,1.049891
Blue 36-2,-53.36207,-310.3821,-1.850411,6.561199,5.899724,-1.99917,1.228755
Blue 36-3,-53.71577,-310.6024,-1.914693,6.32226,5.603095,-2.461265,1.088019
Blue 37-1,-66.63342,-303.7055,-17.6114,-4.077825,-5.074685,-17.29489,3.982807
Blue 37-2,-66.91169,-304.0739,-17.37403,-4.05785,-5.169797,-18.7093,3.897964
Blue 37-3,-68.17539,-302.4138,-17.65591,-5.067671,-6.138204,-18.88705,4.273938
White 1-1,357.4398,202.1973,-3.37346,-7.670643,-9.278386,-20.37751,0.2564038
White 1-2,367.59,209.7917,-2.777344,-5.880102,-7.184817,-18.46289,0.4399358
White 1-3,362.4033,206.0383,-1.854987,-6.584288,-8.050026,-19.644,0.3691291
White 2-1,365.38,214.7611,13.0648,-6.384736,-8.288668,-21.24328,0.6403788
White 2-2,361.1361,211.5824,17.4578,-6.500968,-8.710423,-22.36294,0.6056343
White 2-3,367.0823,215.6409,16.34285,-5.51375,-7.527493,-20.97664,0.6305141
White 3-1,361.4936,192.7424,-38.60469,-7.725936,-6.855418,-9.801711,0.6635857
White 3-2,362.7705,191.3313,-37.076,-6.403861,-5.448265,-9.186374,0.626771
White 3-3,359.4741,187.7845,-36.45499,-6.386275,-5.453925,-9.682381,0.5418744
White 4-1,403.7068,230.5865,31.2077,9.485117,12.77516,31.13666,6.787201
White 4-2,409.3355,232.0327,30.76331,11.1614,14.58489,31.83268,6.321341
White 4-3,408.3711,234.7991,31.24181,10.17001,13.49874,31.08291,6.809499
White 5-1,440.61,252.8918,-70.17291,2.81536,8.358447,20.48729,1.203411
White 5-2,435.8174,250.1612,-68.42834,1.446297,6.967745,18.96789,1.325891
White 5-3,439.7553,253.1544,-69.07386,2.268615,7.864888,19.8257,1.463041
