,Intensity W11.3,,C:\Users\Brend\Desktop\LED Spectras v2\Spectrometer Data (White 1-34.2).sp,,,W11.3
,91.74,,,,,
,91.505,,,,,
,91.213,,,,,
,90.828,,,,,
,90.366,,,,,
,89.829,,,,,
,89.23,,,,,
,88.561,,,,,
,87.803,,,,,
,86.94,,,,,
,85.913,,,,,
,84.691,,,,,
,83.259,,,,,
,81.64,,,,,
,79.908,,,,,
,78.164,,,,,
,76.452,,,,,
,74.793,,,,,
,73.138,,,,,
,71.542,,,,,
,69.996,,,,,
,68.522,,,,,
,67.111,,,,,
,65.77,,,,,
,64.512,,,,,
,63.312,,,,,
,62.198,,,,,
,61.13,,,,,
,60.126,,,,,
,59.197,,,,,
,58.374,,,,,
,57.637,,,,,
,56.933,,,,,
,56.251,,,,,
,55.633,,,,,
,55.086,,,,,
,54.6,,,,,
,54.137,,,,,
,53.695,,,,,
,53.249,,,,,
,52.774,,,,,
,52.277,,,,,
,51.787,,,,,
,51.347,,,,,
,50.926,,,,,
,50.514,,,,,
,50.041,,,,,
,49.533,,,,,
,48.967,,,,,
,48.379,,,,,
,47.792,,,,,
,47.216,,,,,
,46.662,,,,,
,46.098,,,,,
,45.512,,,,,
,44.917,,,,,
,44.292,,,,,
,43.661,,,,,
,43.01,,,,,
,42.349,,,,,
,41.696,,,,,
,41.041,,,,,
,40.372,,,,,
,39.692,,,,,
,39.009,,,,,
,38.345,,,,,
,37.672,,,,,
,37.002,,,,,
,36.319,,,,,
,35.656,,,,,
,34.983,,,,,
,34.338,,,,,
,33.706,,,,,
,33.115,,,,,
,32.519,,,,,
,31.932,,,,,
,31.352,,,,,
,30.808,,,,,
,30.272,,,,,
,29.737,,,,,
,29.226,,,,,
,28.765,,,,,
,28.332,,,,,
,27.916,,,,,
,27.508,,,,,
,27.151,,,,,
,26.81,,,,,
,26.507,,,,,
,26.191,,,,,
,25.893,,,,,
,25.597,,,,,
,25.333,,,,,
,25.075,,,,,
,24.817,,,,,
,24.561,,,,,
,24.334,,,,,
,24.127,,,,,
,23.957,,,,,
,23.779,,,,,
,23.592,,,,,
,23.387,,,,,
,23.205,,,,,
,23.02,,,,,
,22.827,,,,,
,22.638,,,,,
,22.498,,,,,
,22.385,,,,,
,22.285,,,,,
,22.17,,,,,
,22.041,,,,,
,21.9,,,,,
,21.745,,,,,
,21.565,,,,,
,21.392,,,,,
,21.242,,,,,
,21.139,,,,,
,21.039,,,,,
,20.956,,,,,
,20.88,,,,,
,20.812,,,,,
,20.723,,,,,
,20.635,,,,,
,20.535,,,,,
,20.449,,,,,
,20.336,,,,,
,20.235,,,,,
,20.12,,,,,
,20.035,,,,,
,19.964,,,,,
,19.903,,,,,
,19.829,,,,,
,19.773,,,,,
,19.741,,,,,
,19.739,,,,,
,19.723,,,,,
,19.707,,,,,
,19.694,,,,,
,19.71,,,,,
,19.725,,,,,
,19.739,,,,,
,19.762,,,,,
,19.812,,,,,
,19.856,,,,,
,19.868,,,,,
,19.875,,,,,
,19.929,,,,,
,20.014,,,,,
,20.117,,,,,
,20.206,,,,,
,20.311,,,,,
,20.41,,,,,
,20.524,,,,,
,20.622,,,,,
,20.71,,,,,
,20.79,,,,,
,20.896,,,,,
,21.032,,,,,
,21.203,,,,,
,21.362,,,,,
,21.513,,,,,
,21.636,,,,,
,21.797,,,,,
,21.97,,,,,
,22.124,,,,,
,22.226,,,,,
,22.347,,,,,
,22.5,,,,,
,22.673,,,,,
,22.839,,,,,
,23.035,,,,,
,23.232,,,,,
,23.41,,,,,
,23.544,,,,,
,23.683,,,,,
,23.82,,,,,
,23.974,,,,,
,24.106,,,,,
,24.239,,,,,
,24.377,,,,,
,24.549,,,,,
,24.742,,,,,
,24.939,,,,,
,25.119,,,,,
,25.306,,,,,
,25.483,,,,,
,25.677,,,,,
,25.833,,,,,
,25.977,,,,,
,26.114,,,,,
,26.296,,,,,
,26.504,,,,,
,26.722,,,,,
,26.904,,,,,
,27.081,,,,,
,27.23,,,,,
,27.389,,,,,
,27.54,,,,,
,27.738,,,,,
,27.936,,,,,
,28.121,,,,,
,28.279,,,,,
,28.432,,,,,
,28.577,,,,,
,28.719,,,,,
,28.87,,,,,
,29.058,,,,,
,29.248,,,,,
,29.448,,,,,
,29.614,,,,,
,29.783,,,,,
,29.924,,,,,
,30.085,,,,,
,30.223,,,,,
,30.376,,,,,
,30.515,,,,,
,30.657,,,,,
,30.795,,,,,
,30.94,,,,,
,31.088,,,,,
,31.241,,,,,
,31.387,,,,,
,31.541,,,,,
,31.682,,,,,
,31.816,,,,,
,31.951,,,,,
,32.093,,,,,
,32.221,,,,,
,32.343,,,,,
,32.443,,,,,
,32.563,,,,,
,32.67,,,,,
,32.806,,,,,
,32.937,,,,,
,33.081,,,,,
,33.207,,,,,
,33.335,,,,,
,33.437,,,,,
,33.567,,,,,
,33.683,,,,,
,33.786,,,,,
,33.85,,,,,
,33.918,,,,,
,34.01,,,,,
,34.12,,,,,
,34.244,,,,,
,34.372,,,,,
,34.483,,,,,
,34.578,,,,,
,34.658,,,,,
,34.738,,,,,
,34.807,,,,,
,34.89,,,,,
,34.976,,,,,
,35.065,,,,,
,35.152,,,,,
,35.251,,,,,
,35.364,,,,,
,35.481,,,,,
,35.59,,,,,
,35.681,,,,,
,35.756,,,,,
,35.847,,,,,
,35.939,,,,,
,36.028,,,,,
,36.06,,,,,
,36.091,,,,,
,36.136,,,,,
,36.23,,,,,
,36.327,,,,,
,36.394,,,,,
,36.42,,,,,
,36.446,,,,,
,36.498,,,,,
,36.573,,,,,
,36.662,,,,,
,36.751,,,,,
,36.824,,,,,
,36.873,,,,,
